device_id,first_heard_at,last_heard_at,retirement_at,retirement_date
DD03710135897,1726723200.0,1757491286,1757491286,2025-09-10
DD03710142796,1724271300.0,1776771704,1776771704,2026-04-21
DD05335309528,1724299800.0,1774081448,1774081448,2026-03-21
DD13710138762,1724919000.0,1758464822,1758464822,2025-09-22
DD15335317328,1724196900.0,1767676840,1767676840,2026-01-06
DD53710138792,1726799400.0,1754723857,1754723857,2025-08-09
DD63710138664,1726799400.0,1761359620,1761359620,2025-10-25
DD63710139428,1726806300.0,1752900383,1752900383,2025-07-19
DD73710133776,1724194500.0,1771505659,1771505659,2026-02-19
DD85335177434,1680568500.0,1759739525,1759739525,2025-10-06
DD93710150011,1748384700.0,1776708267,1776708267,2026-04-21
DDB3710142790,1724271300.0,1774246956,1774246956,2026-03-23
DDE3710133624,1724198700.0,1774886360,1774886360,2026-03-31
