device_id,first_heard_at
DD03710132886,1766005200.0
DD03710135897,1726723200.0
DD03710141038,1724990400.0
DD03710142796,1724271300.0
DD03710152704,1753939800.0
DD05335296400,1748835300.0
DD05335309528,1724299800.0
DD13710134676,1726717200.0
DD13710135228,1741050300.0
DD13710138762,1724919000.0
DD13710142114,1724919000.0
DD13710151159,1746077700.0
DD13710151545,1754114400.0
DD15335317328,1724196900.0
DD23710133810,1729066800.0
DD23710135868,1726634400.0
DD33710133121,1758672300.0
DD33710136403,1726799400.0
DD33710138929,1750742700.0
DD35335315176,1742431500.0
DD43710131201,1758175800.0
DD43710136485,1745963400.0
DD43710139565,1724194500.0
DD43710152924,1754349000.0
DD43710163054,1773364200.0
DD53710138792,1726799400.0
DD63710134528,1741053600.0
DD63710138664,1726799400.0
DD63710139428,1726806300.0
DD63710151263,1754968500.0
DD63710153472,1753940100.0
DD63710156375,1751854500.0
DD65335313964,1760654100.0
DD73710133776,1724194500.0
DD73710135376,1726634700.0
DD73710139736,1758853500.0
DD73710145698,1750306500.0
DD73710145733,1750990800.0
DD83710134270,1726727100.0
DD83710159870,1738104900.0
DD85335177434,1680568500.0
DD93710136476,1755047700.0
DD93710138692,1726806300.0
DD93710138744,1726638900.0
DD93710150011,1748384700.0
DD93710161961,1742431500.0
DD95335314009,1724271300.0
DDA3710151495,1748298600.0
DDB3710140820,1759292700.0
DDB3710142790,1724271300.0
DDB3710152928,1754114700.0
DDB3710159787,1742431500.0
DDB3710159901,1742175900.0
DDB3710163380,1742175900.0
DDB5335306345,1724289000.0
DDC3710133057,1773358500.0
DDC3710151149,1746666300.0
DDC3710152837,1751610000.0
DDC5335305071,1751609700.0
DDD3710142042,1724919000.0
DDD3710153378,1781649000.0
DDD3710158146,1781649300.0
DDD3710159696,1741050300.0
DDE3710133457,1726713300.0
DDE3710133550,1760056200.0
DDE3710133624,1724198700.0
DDE3710133723,1750985700.0
DDE3710136514,1726634400.0
DDE3710145653,1754114400.0
DDE3710153358,1754105700.0
DDE3710159628,1781645400.0
DDE3710161332,1748384700.0
DDE3710161960,1724988900.0
DDE5335306720,1724724900.0
DDE5335317275,1763341200.0
DDF3710143507,1751697900.0
DDF3710162125,1748558700.0
DF13710153168,1781501400.0
DF25335177818,
DF53710149480,
DFA5335309539,
